direction,function,sites,status,notes
callee,wm_80097440,0x80071A78,ACCEPTED,"I21; [0x80097440,0x8009766C) 556B/139i; PsyQ RotMatrixX/Y/Z MulMatrix0x2 ApplyMatrix TransMatrix; a0=0x8009BD40; gated on *0x8009D144==0"
callee,wm_80097244,0x80071A90,ACCEPTED,"I22; [0x80097244,0x80097440) 508B/127i; PsyQ VectorNormalx3 OuterProduct12x2 ApplyMatrix TransMatrix; a0=0x8009BD40; gated on *0x8009D144!=0"
callee,wm_80089748,0x80071A98,ACCEPTED,"I31; [0x80089748,0x80089C78) 1328B/332i; overlay jal 0x80089580; PsyQ RotMatrixYXZ ApplyMatrix rand VectorNormal ratan2"
callee,wm_80089C78,0x80071AA0,ACCEPTED,"I28; [0x80089C78,0x8008A2C8) 1616B/404i; overlay jal 0x80093534; COP2 RTPT/RTPS POLY_FT4"
callee,wm_80085CDC,0x80071AA8,ACCEPTED,"I26; [0x80085CDC,0x80085F58) 636B/159i; PRE4 85FE0 end was wrong; overlay jal 0x80093484; COP2 RTPS SZ3"
callee,wm_8008615C,0x80071AB0,MISSING,"start after [0x80086124,0x8008615C); overlay jal 0x80099BFC; end UNRESOLVED"
callee,wm_800747DC,0x80071AB8,MISSING,"starts after accepted 74794; overlay jals 93740 93978 ACCEPTED; end UNRESOLVED vs 75228"
callee,wm_800848F4,0x80071AC0,ACCEPTED,"I27; [0x800848F4,0x80084D00) 1036B/259i; overlay jal 0x80093534; COP2 RTIR/RTPS"
callee,wm_800980D4,0x80071AD0,ACCEPTED,"I23; [0x800980D4,0x800981C8) 244B/61i; no JALs; a0=0x8009BBB4"
callee,wm_800981C8,0x80071AF4,ACCEPTED,"I24; [0x800981C8,0x800983A0) 472B/118i; no JALs; gated on lh 0x8009D558; a0=0x8009BE28"
callee,wm_80096130,0x80071AFC,MISSING,"[0x80096130,0x8009623C) 268B/67i; overlay jal 0x800967E4; gated with 981C8"
callee,wm_80098CC0,0x80071B04,MISSING,"[0x80098CC0,0x8009932C) 1644B/411i; overlay jals 9623C 962B0 96328 965A4 all ACCEPTED I32-I37; SLUS ArchiveGetFilePath/ArchiveDecodeSector/func_8002C3D8/HeapAlloc/0x800320E8"
callee,wm_800983A0,0x80071B14,MISSING,"a0=0x8009BE28; overlay jal 0x800987AC; end UNRESOLVED"
callee,wm_8009932C,0x80071B30,MISSING,"a0/a1 from *(*0x8009BE3C)+0x70/0x74 a2=0x8009BE28; overlay jal 0x80099708; end UNRESOLVED"
callee,wm_80073B04,0x80071B50,ACCEPTED,"[0x80073B04,0x80073E30) 812B/203i; world_map_helper_73b04.c"
callee,wm_800737EC,0x80071B58,ACCEPTED,"I25; [0x800737EC,0x800739B8) 460B/115i; PsyQ only"
callee,wm_80086798,0x80071B60,MISSING,"jalr $v0 at 0x800867CC via lw 0x8009CD40; overlay sw sites all store 0x80086700; SLUS has no 9CD40 traffic; not implemented"
callee,wm_800740B8,0x80071B7C,ACCEPTED,"I29; [0x800740B8,0x80074594) 1244B/311i; PRE4 74794 end swallowed 74594/7474C; PsyQ RotMatrix + COP2 RTPT; gated on lhu 0x8006EE76==0"
data_ref,flag 0x8009D144,0x80071A5C,-,lw; zero selects 97440 else 97244
data_ref,eye 0x8009BD40,0x80071A74,-,a0 to 97440/97244
data_ref,pos 0x8009BBB4,0x80071ACC,-,a0 to 980D4
data_ref,wrap flags 0x8009D558,0x80071ADC,-,lh; nonzero runs 981C8/96130/98CC0
data_ref,pos 0x8009BE28,0x80071AF0,-,a0 to 981C8 and 983A0; a2 to 9932C
data_ref,db 0x8009BE3C,0x80071B20,-,lw then +0x70/+0x74 for 9932C a0/a1
data_ref,counter 0x8009C5BC,0x80071B3C,-,lw; +=0x40; sw
data_ref,gate 0x8006EE76,0x80071B6C,-,lhu; zero runs 740B8
caller,wm_80097800 (scheduler),slot-14 cb1,CANONICAL,natural a0=14 after 92FD8 ret=1; return always 1
prereq,wm_80089580,0x80089C3C,ACCEPTED,"I30; [0x80089580,0x80089748) 456B/114i; no JAL/JALR; unlocks 89748"
prereq,wm_8009623C,0x80098CC0,ACCEPTED,"I32; [0x8009623C,0x800962B0) 116B/29i; no JAL/JALR; 12-byte enqueue cap 88"
prereq,wm_800962B0,0x80098CC0,ACCEPTED,"I33; [0x800962B0,0x80096328) 120B/30i; no JAL/JALR; 16-byte enqueue cap 88"
prereq,wm_800963E4,0x80096328,ACCEPTED,"I34; [0x800963E4,0x800964B0) 204B/51i; no JAL/JALR; 12-byte key insertion; unlocks 96328"
prereq,wm_800964B0,0x800965A4,ACCEPTED,"I35; [0x800964B0,0x800965A4) 244B/61i; no JAL/JALR; 16-byte key insertion; unlocks 965A4"
prereq,wm_80096328,0x80098CC0,ACCEPTED,"I36; [0x80096328,0x800963E4) 188B/47i; overlay jal 963E4; 12-byte bank publish"
prereq,wm_800965A4,0x80098CC0,ACCEPTED,"I37; [0x800965A4,0x80096668) 196B/49i; overlay jal 964B0; 16-byte bank publish"
prereq,wm_800966CC,0x800967E4,ACCEPTED,"I38; [0x800966CC,0x800967E4) 280B/70i; PsyQ PCopen/PClseek/PCread/PCclose; PCread dest=+12 count=+8"
prereq,wm_800968E0,0x800967E4,ACCEPTED,"I39; [0x800968E0,0x8009699C) 188B/47i; closed switch at 0x80070CA0; no JAL"
prereq,wm_8009699C,0x800967E4,MISSING,"[0x8009699C,0x80096A6C) 208B/52i; PsyQ CdIntToPos/CdSyncCallback/CdControlF"
closure_verdict,-,-,MISSING=7,I21-I39 plus 73B04 accepted; next bounded 967E4 callee=0x8009699C; next 71A58 callee=0x80098CC0
